País,Clics,Impresiones,CTR,Posición
México,249,8894,2.8%,7.23
España,19,736,2.58%,3.77
Colombia,10,674,1.48%,3.52
Estados Unidos,7,673,1.04%,6.04
Argentina,7,525,1.33%,5.29
Chile,7,258,2.71%,4.49
Perú,6,146,4.11%,2.7
Uruguay,4,132,3.03%,3.7
Costa Rica,4,107,3.74%,3.94
Panamá,3,102,2.94%,3.71
Guatemala,2,75,2.67%,3.97
Venezuela,1,99,1.01%,2.88
Ecuador,1,90,1.11%,3
Nicaragua,1,48,2.08%,3.06
Canadá,1,13,7.69%,3.62
Alemania,1,6,16.67%,2.5
China,1,6,16.67%,5.83
Portugal,1,1,100%,3
Honduras,0,71,0%,3.62
El Salvador,0,50,0%,3.58
República Dominicana,0,36,0%,2.33
Puerto Rico,0,35,0%,2.71
Paraguay,0,34,0%,2.5
Bolivia,0,29,0%,2.34
Brasil,0,24,0%,3.17
La India,0,12,0%,37.17
Reino Unido,0,11,0%,6.82
Italia,0,9,0%,3
Francia,0,8,0%,3.25
Cuba,0,7,0%,2.86
Polonia,0,4,0%,4.5
Japón,0,4,0%,6.75
Iraq,0,3,0%,5.33
Países Bajos,0,3,0%,7
Turquía,0,3,0%,8
Indonesia,0,2,0%,2
Arabia Saudí,0,2,0%,3
Angola,0,2,0%,3.5
Ucrania,0,2,0%,4
Rusia,0,2,0%,5
Uzbekistán,0,2,0%,5.5
Pakistán,0,2,0%,6
Guinea Ecuatorial,0,2,0%,8.5
Corea del Sur,0,2,0%,18
Kazajistán,0,2,0%,27.5
Senegal,0,1,0%,1
Siria,0,1,0%,1
Aruba,0,1,0%,2
Azerbaiyán,0,1,0%,2
Laos,0,1,0%,2
Jamaica,0,1,0%,3
Líbano,0,1,0%,3
Moldavia,0,1,0%,3
Tailandia,0,1,0%,3
Bélgica,0,1,0%,4
Israel,0,1,0%,5
Mauricio,0,1,0%,5
Mongolia,0,1,0%,6
Andorra,0,1,0%,7
Irán,0,1,0%,8
Suecia,0,1,0%,8
Emiratos Árabes Unidos,0,1,0%,9
Hong Kong,0,1,0%,9
Bahamas,0,1,0%,10
Ghana,0,1,0%,10
Vietnam,0,1,0%,10
Sudáfrica,0,1,0%,10
